,Air Conditioning,Alarm,Balcony,Bike Paths,Bike room,Bus,Cable,Carpeted Floors,Central Vac,City views,Common Terrace,Concierge,Concrete Building,Corner Unit,Courtyard,Covered,Dishwasher,Disposal,Double garage,Electricity,Elevator,Extra-Wide Doorways,Fenced Backyard,Fire-Pit,Fireplace,Fitness Area,Fridge,Golf Course,Guest Parking,Guest Suite,Hardwood Floors,Heat,Hot-Tub,In-suite Storage,Internet,Internet Access,Jetted Tub/Jacuzzi,Lake,Laminate Floors,Laundry - Coin/Card,Laundry - In Suite,Laundry - Shared,Laundry Hookups,Linoleum Flooring,Luxury Vinyl Plank Flooring,Microwave,Mountain views,On-Site Management,Outdoor,Outdoor Pool,Oven/Stove,Party/Games Room,Patio/Deck,Penthouse Unit,Playground/Park,Pool,Private Entry,Public Library,Rent-to-Own,River,River Views,Sauna,Secure Entry,Shopping Center,Single garage,Skylight,Sports Complex,Steam Room,Storage Lockers,Street,Swimming Pool,Tennis Courts,Theatre,Tile Flooring,Train Access,Underground,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Walk-Out Basement,Walk-Up,Water,Wheelchair Access,Window Coverings,Zero-Step Entrance,acadia_clinic_DRIVING,availability_date,baths,beds,cole_home_TRANSIT,cole_home_WALKING,deposit,description,furnishing,lat,lease_term,listing_url,lon,name,price,sq_feet,sublisting,tiff_home_DRIVING,timestamp,type,unit_name,unit_notes,wildlife_DRIVING
,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,1.0,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,,,Negotiable,3 ba,3 bd + den,,,$2500,"Adult only 3 level villa which includes a large open loft is located in a quiet prestigious gated community. Spectacular 180 degree city views on all 3 levels makes this condominium a unique and rare find. This beautiful, bright open concept home starts at the front entrance with 2 storey skylight and stairs leading up to the open loft with balcony overlooking the city. The private den features custom solid oak cabinetry and built in desk with French Door. The updated kitchen with new flooring and high end appliances includes solid wood cabinets and solid surface countertop that is conveniently located at the front of the home with eating area and pass through to adjacent formal dining room. The dining room opens to the expansive living room with gas fireplace, extensive oak cabinets, bookshelves, and endless city views with door to the large wraparound deck spanning the full width of the home. The massive main level Master Suite allows you to enjoy sunrises and the city's night lights with continuous city views. The huge ensuite has skylight, new flooring, large two sink vanity, separate tub and shower as well as large walk-in closet. A powder room and laundry room with trash compactor and new flooring leading to the two car garage complete the main level. The curved staircase leads to the fully developed walk out basement. The large games room includes a gas fireplace and wet bar. The ample sized second bedroom overlooks the patio and city with adjacent full bathroom including separate shower and tub. The third bedroom could easily be converted to an isolated home theatre or hobby room.  The basement is completed with a large workshop and mechanical room which includes 2 separate furnaces with air conditioning serving the main level and loft, hot water tank, water softener, large freezer and central vacuum, fully monitored security and ample storage throughout.",Unfurnished,51.0607,Negotiable,https://www.rentfaster.ca/406242,-114.172094,Suite 0,$2500.00,1921,0,,2020-03-30 21:34:07.609266,Duplex,,,
,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,1.0,,1.0,,1.0,,1.0,1.0,,1.0,,,,1.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,Immediate,1.5 ba,3 bd + den,,,$1650,"Spacious Executive Townhouse on the Hill with City Views!

Fantastic location in desirable Patterson! Breathtaking views! Shopping nearby, close to downtown, Canada Olympic Park and highway 1.
With more than 1750 Sq. ft. of living space, the upper floor of this well maintained townhome has 2 bdrm plus den as well as a full bath with shower and separate spa bath tub. From the master bedroom you get sweeping views of the city and ravine.
Main floor has bright living room, dinning room big enough for full size dinning set, kitchen with stainless-steel appliances. There is also a half bath, and laundry as well as access to the spacious deck with full view of downtown. 
The lower level has a flexroom with large closet for extra storage. The garage is heated and lined with storage shelves. More storage space in the furnace room. 
Nearby playgrounds and schools. Very close to bus stop. 5 minutes drive to C-train and 15 to 20 minutes to heart of downtown.",Unfurnished,51.0566243,Long Term,https://www.rentfaster.ca/348234,-114.1705845,Suite 0,$1650.00,1750,0,,2020-03-30 21:35:08.179656,Townhouse,,,
,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,1.0,,,"Apr 15, 2020",1.5 ba,3 bd,,,$1400,"Newly renovated Killarney duplex available for April possession 
Newly upgraded spacious duplex close to all amenities is perfect for a young family, single parent or students being close to Mount Royal. Close to SW LRT/bus lines and is a 7 minute drive to downtown. Pets considered/allowed with a non refundable pet deposit.
Upper floor has spacious living room featuring a walk out balcony with upgraded sliding doors, Large dining room has built in china cabinet. Open and spacious kitchen with ample cupboard space. Half bathroom and laundry alcove conveniently located adjacent to the kitchen area. Wood trim accents found throughout.
The lower level features a master bedroom with a spacious walk in closet and has 2 additional smaller bedrooms.  Main bathroom has been newly renovated - shower tile surround. There is additional storage space underneath the stairs and in the utility room.  
There is a shared back yard space with access to the crab apple tree and raspberry bushes. All seasonal yard work/ lawn maintenance included with rent. Tenant is responsible for sidewalk snow clearance but snow shovel provided.
Recent upgrades / maintenance include 
New vinyl plank flooring 
Electrical Upgrade
Bathroom Renovation 
Basement bedroom insulation upgrade 
New roof 
New sliding door to balcony
Fresh coat of paint 
Furnace & Ducts Cleaned.
New hot water tank

 There has been a lot of TLC put into this home.  Come see for yourself call to set up a showing time.",Unfurnished,51.030994,Long Term,https://www.rentfaster.ca/128554,-114.129157,Suite 0,$1400.00,1450,0,,2020-03-30 21:36:08.678465,Duplex,,,
,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,Immediate,2 ba,2 bd,,,$1895,"Perfect Location!  Floor-to-ceiling corner windows with sweeping views of the downtown’s skyline and flood the space with natural light throughout the day. The kitchen features stainless steel appliances, granite countertops, concrete floors and modern espresso cabinetry. Offering a flexible layout, a frosted sliding glass door elegantly separates the main living space from a second bedroom or office. The master bedroom hosts dual closets and a four-piece ensuite bathroom, while the second bathroom boasts a 3 piece with glass shower and stacked washer-dryer. Also note a gas line for BBQ, in-suite storage, underground parking stall, central air conditioning, and west facing balcony. All set within one of Calgary's most vibrant areas with some of the City's top restaurants, cafes, fitness studios, tennis courts, and the downtown core on your doorstep.

Monthly rent includes heat, air conditioning, water, sewer, and parking.",Unfurnished,51.040463,Long Term,https://www.rentfaster.ca/317711,-114.065595,Suite 0,$1895.00,902,0,,2020-03-30 21:37:09.305989,Condo,,,
,1.0,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,1.0,1.0,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,Immediate,2 ba,2 bd + den,,,$1750,"Welcome to this one-of-a-kind loft-style condo in the quiet neighbourhood of Sunalta. 
This west-facing top floor unit offers impressive vaulted ceilings, a spacious loft, tons of natural light and open-concept living, dining and kitchen areas.  
The master suite comfortably fits a king-size bed and features an ensuite bathroom and generous closet space. Located in the corner of the unit, the second bedroom welcomes a lot of natural light with space for a queen-size bed. 
The living area can comfortably fit a full-size dining set and sectional, with additional seating at the breakfast bar in the kitchen. The loft area is perfect for a home office, guest area or additional living space. There is also an additional full-size bathroom, in-suite laundry and entry-way closet space. 
A private, west-facing balcony is the perfect place to relax in warmer weather and includes a BBQ.
The quiet, convenient location is minutes from the new LRT, within walking distance of local shops, restaurants and recreation and just a short drive downtown. This lovely loft-style condo is freshly painted and sparkling clean with new window treatments throughout – you don’t want to miss out on this amazing opportunity! 
Book a viewing today!
Rent: Just $1900/month
Includes:
-Free Underground Parking
-Heat, Water, Electricity
-BBQ",Unfurnished,51.0428014,Long Term,https://www.rentfaster.ca/404510,-114.1013932,Suite 0,$1750.00,1100,0,,2020-03-30 21:38:09.707494,Condo,,,
,,,,1.0,,1.0,,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,1.0,,,1.0,,,,,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,Immediate,2.5 ba,2 bd,,,$1975,"This bright and spacious townhome is ready for you to move in. Located in a quiet complex, this PARTIALLY FURNISHED and beautifully renovated home features twin master suites and over 1400 square feet of living space. Enjoy an OVERSIZED DOUBLE ATTACHED GARAGE with additional driveway parking. The main floor has a spacious living room with 16 foot ceilings and access to your private and sunny yard, backing onto green space. The renovated kitchen features dark cabinets, tile backsplash, stainless steel appliances, granite counters and large centre island/breakfast bar. The kitchen is open to a second family room and separate dining area, perfect for family dinners or hosting friends. The upper level offers two massive bedrooms each with their own private ensuite baths and ample closet space. The lower level features a large laundry room with front load Samsung washer & dryer and additional storage space. Only a 12 minute drive to downtown and a 5 minute walk to public transit. Convenient location close to schools, parks, pathways and all of the amenities the Westhills shopping area has to offer. Call to book your private viewing today! Virtual tours are available.",Negotiable,51.012518,Negotiable,https://www.rentfaster.ca/360701,-114.163549,Suite 0,$1975.00,1401,0,,2020-03-30 21:39:10.187369,Townhouse,,,
,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,"May 01, 2020",1.5 ba,2 bd + den,,,$1400,"*6 month lease or preferably 1 year.* This condo is fully furnished or unfurnished, up to you. The price won't change either way. Large 2 bedroom condo with a half bathroom off the master bedroom. The den is large enough to be used as a third bedroom, which is what I currently use it for. The balcony faces northeast which makes for very comfortable evenings. The condo comes with a BBQ, stove, dishwasher, fridge, washer with spinner (this thing is amazing, but if you prefer there is a coin operated washer and drier downstairs), a large storage room downstairs, bike storage, and social room. There is one free outdoor parking spot, and lots of free street parking available on Cedar Crescent SW, no permit required.
There are lots of parks close by, Shaganappi golf course, Walmart and Westbrook mall, the bow river, and downtown is only about 5kms away. May 1st.",Negotiable,51.0501811,Short Term,https://www.rentfaster.ca/404295,-114.1333258,Suite 0,$1400.00,1100,0,,2020-03-30 21:40:10.643068,Condo,,,
,,,,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,,1.0,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,Immediate,3.5 ba,5 bd,,,$2400,"This 5 bedroom home has been fully renovated within the last 3 years. recently reno'd featuring over 2200 square feet of developed living space on 3 levels with 5 bedrooms and 3.5 bathrooms. Luxury vinyl plank flooring throughout the main floor, custom kitchen with newer stainless steel appliances and quartz countertops, paint and updated bathrooms. Main floor features a wide open living/dining experience flooded with natural light, a half bath/laundry room through the kitchen to the back door opening onto the rear patio. Upstairs includes 3 bedrooms, 2 full bathrooms including the master with full ensuite and walk-in closet. The basement provides 2 additional bedrooms, another full bathroom and large rec room with wet bar. Front and back stairs have been refinished as well as a new fence on the east side back yard. This home is in an amazing location close to restaurants, shopping, transit, children's and foothills hospital, C.O.P and easy access to downtown or to get out of the city!",Unfurnished,51.0711323,Long Term,https://www.rentfaster.ca/406246,-114.1598669,Suite 0,$2400.00,1500,0,,2020-03-30 21:41:11.150472,Duplex,,,
,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,1.0,,,,,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,Immediate,1.5 ba,2 bd + den,,,$1350,"Great bungalow for rent in a mature neighborhood close to downtown, schools, shopping, transit and amenities. This bright sunny home sits on a large lot and backs onto a nice park just steps away from the off-leash dog area. The newly painted main floor offers 2 bedrooms and a full bath along with an open living/dining room and a large kitchen with a breakfast nook. Downstairs has a large family room and den (or non-conformng bedroom) along with a half bathroom. There is also plenty of storage and large laundry area. The huge south facing back yard is fully fenced and has a large garden box for those who like to garden and a double garage (only 1 side has remote garage door) as well as a large parking pad in front of the garage. There is also lots of street parking in front of the house. A great home in a great area!
*Cats and dogs are negotiable but mature, well behaved and cared for dogs preferred, sorry no puppies.",Unfurnished,51.0911912,Negotiable,https://www.rentfaster.ca/406251,-114.0533062,Suite 0,$1350.00,970,0,,2020-03-30 21:42:11.737162,House,,,
,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,"Apr 01, 2020",2 ba,2 bd,,,$1900,"“All The Way Up” - this 26th floor, 2 bedroom, 2 full bathroom condo enjoys breathtaking views from each room within. The 180 degree view spans the entire city center and captures significant structures such as the Bow Building, Calgary Tower and Telus Sky. Modern interior finishings include white cabinetry, stainless steel appliances, quartz countertops & front load laundry. Each of the 2 bedrooms has their own walk through closet leading to a full bathroom making this one of the most versatile floorplans. Executive style amenities include central A/C, underground heated & secure parking, individual storage locker, private fitness center & concierge services. Walking distance to 17th Ave “Red Mile”, Stampede LRT station, the Saddledome and much more. The new arena and event center is also scheduled to be only a few blocks away! 
Pets are negotiable, please include the type of pet and breed when requesting a viewing.
Heat, Electric, Water & Sewer are all included!",Unfurnished,51.040100533581,Negotiable,https://www.rentfaster.ca/406276,-114.06091123809799,Suite 0,$1900.00,820,0,,2020-03-30 21:43:12.240595,Apartment,,,
,,,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,1.0,,1.0,,,1.0,1.0,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,"May 01, 2020",2 ba,2 bd + den,,,$1950,"A south-facing unit on 3rd floor featuring 2 bedrooms and a den, two full baths and TWO heated underground parking stalls. Close to MRU, 10-15 min drive to downtown, FMC, ACH and RGH. The unit has a balcony that overlooks the courtyard. Fully equipped kitchen with granite counter tops, breakfast bar and stainless steel appliances. Spacious living room and 2nd bedroom with double French doors. The master has a walkthrough closet to a master ensuite with double sink vanity and a shower.  The den could be used for office/study area or storage. Washer/Dryer unit in suite. The building amenities include a gym and yoga room, lounge and 2 guest suites and parking. All utilities - water, heat and electricity - included. Move in and enjoy!",Negotiable,51.00271,Long Term,https://www.rentfaster.ca/406301,-114.1288,Suite 0,$1950.00,890.18,0,,2020-04-01 09:46:21.564006,Condo,,,
,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,,1.0,,,,,,1.0,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,Immediate,2 ba,2 bd,,,$1300,"Great Inner City Condo, great location, area quiet and beautiful parks.
The suited is conveniently located within walking and easy access to the public transportation, close to schools, downtown, few blocks from 17 th Ave and 14th st SW! lots of cool shops, restaurants and bars. Near the library Beautiful Top floor suite, very bright suite, quiet, clean, Laundry in suit and balcony.
Perfect ideal for professionals working or couples looking for a comfortable and stylish place to live.
Seeking responsible for Long Term/ Short Term OR Negotiable
Available Immediately!
General Information:
1. Pets friendly No FEE charge.
2. Ample street parking NO permits necessary.
3. Rent $1,300/mo, Included one sport parking unit, heat and water
4. Utilities, cable and Internet not included
4. Security Deposit is same as rent 
5. Great tenants in a building

To set up and appointment Please text or Call 587 832 0889, 587433 7430",Unfurnished,51.0340682,Long Term,https://www.rentfaster.ca/128451,-114.09961659999999,Suite 0,$1300.00,700 sq. Ft. Of living space,0,,2020-04-01 09:47:22.145212,Condo,,,
,,,1.0,1.0,,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,,"May 01, 2020",2.5 ba,2 bd + den,,,$1600,"This luxurious 1050 SqFt executive style 2 story, 2 bedrooms, 2,5 bathrooms top floor condo is a unit with privacy, is located in a safe and quiet neighborhood and has one of the best views of the city skyline.
The large kitchen features lots of cupboards, gorgeous granite countertops and stainless steel appliances.
The living room includes a cozy wood burning fireplace with adjoining patio in a private green space.
The main level also includes the in-suite laundry room with a two-in-one washer and dryer, half bathroom and a storage space.  At the second floor there are two good sized bedrooms with a spectacular city view, a bonus room and a four piece bathroom.  The master bedroom has an in-suite bathroom and a balcony with a great panoramic city view.  
The condo comes with 2 heated underground parking stalls and additional storage locker in the basement. They are plenty of visitors parking for guests in front and back of the building.
Less than 15 minute to drive downtown or in front of the building is the bus station to West LRT.
You can cancel your gym pass and benefit from all the condo amenities which include a lap pool, hot tub, lounge area, exercise room, party room and tennis court.
Outside they are a lot of green space and you can enjoy the stunning city view, walking paths, waterfalls and picnic areas.


Rent: $1600/month includes all the condo amenities, 2 underground parking stalls and all utilities except electricity.
Security Deposit: $1600
Term: 1 year
Availability: Available for rent from May 1st.

Contact: Tel. 587-968-5424 or e-mail mgrosca@yahoo.com",Unfurnished,51.056744,Long Term,https://www.rentfaster.ca/367195,-114.166568,Suite 0,$1600.00,1050,0,,2020-04-01 09:48:22.685856,Condo,,,
,1.0,,,1.0,,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,,1.0,1.0,,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,Immediate,3 ba,3 bd,,,$2700,"Extensively updated bungalow with fully developed basement and oversized double detached garage in showhome condition. 4 bedrooms and 3 baths. Very bright andopen plan. Hardwood floors throughout. Recently renovated gourmet kitchen with quartz countertops and designer tiled backsplash with centre island and breakfasteating bar with top of the line stainless steel appliances open to large dining area and family room. Rare master bedroom with new carpet and a 4pc ensuite with heatedfloor & walk in closet. 2 other good sized bedrooms with renovated 5pc bath. Basement updated with laminate floors, bedroom, den/office, 3pc bath with heated floorsand large storage room. Updated furnace and new hot water tank. Central Air Conditioning Gorgeous landscaped yard with newer decks in front and back. Oversizeddouble detached garage. Quiet location. Walking distance to schools and near MRU. Excellent family or student home! Exceptional value!",Negotiable,51.004439700000006,Negotiable,https://www.rentfaster.ca/404603,-114.11156729999999,Suite 0,$2700.00,1280,0,,2020-04-01 09:49:23.377055,House,,,
,,,1.0,1.0,1.0,1.0,,,,1.0,,,,,1.0,,1.0,1.0,,1.0,1.0,,,,1.0,,1.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,,1.0,,,,,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,Immediate,2 ba,2 bd,,,$1700,"Spacious two-bedroom condo with a large second bedroom. Located on Centre Avenue, you're minutes away from everything you need.  
Quick access to Memorial and Deerfoot or a couple minute walk to Bridgeland train station. You're a block away from Bridgeland Market and right next door is a Starbucks, dry cleaner, dentist, and barber. The condo is 901 square feet and has two bedrooms, one with an en-suite bathroom and the other one is very spacious which makes for a great second bedroom or a large office. Includes in-suite washer and dryer, dishwasher and barbecue on the patio (natural gas). 
Parking
The place comes with a 1 heated underground parking spot and storage locker; additional spots can be purchased through the building or you can purchase on-street parking pass from the city (est. $30 / year)
Rent:
Rent includes heat, electricity, and water. If you have any questions or would like to see the place in person, please do not hesitate to contact me at 403-827-4478.",Unfurnished,51.052546899999996,Long Term,https://www.rentfaster.ca/100173,-114.0398075,Suite 0,$1700.00,901,0,,2020-04-01 09:50:24.089559,Condo,,,
,1.0,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,"May 01, 2020",2 ba,2 bd,,,$1600,"NW Tuxedo Condo on a very quiet street. Top floor, Two bedroom (Total 865sqf). Freshly painted thru out. Looks like new. Comes with stainless steel appliances, in-suite stacked washer&dryer, A/C unit, heated undgerground parking, hardwood floors, tiled baths and laundry, and rich berber carpets. The mastersuite has its own full 4 piece ensuite. Radiant heating throughout unit. Finishing includes maple cabinets and granite countertops. Convenience to shopping, transit and downtown. Must be seen to be appreciated. Call for a showing today!Addr is 2012-1 St NW, Calgary, ABAVAILABLE: May 1, 2020 upon application checkTERM: 1 YEAR/NEGPLEASE CALL STEPHANIE TODAY FOR YOUR OWN PRIVATE VIEWING @ 403-667-7006

Pets: Not AllowedSmoking : Not AllowedUtilities Included: Heat, WaterParking: Covered Parking, Attached Parking, Rental Features: Laundry, Dishwasher, Balcony/Deck, Fireplace, Hardwood

***24hr Notice as Tenant in place*** 
*** Showings preferred weekdays and weekend around 130pm if possible Thank you.***",Unfurnished,51.07013189999999,Negotiable,https://www.rentfaster.ca/126132,-114.0636381,Suite 0,$1600.00,865,0,,2020-04-01 09:51:24.803115,Condo,,,
,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,"May 01, 2020",2 ba,2 bd + den,,,$2300,"*VEN* KENSINGTON 2 BED + DEN / 2 BATH CONDO


SOUGHT AFTER BUILDING
SECURE ENTRY
FURNISHED, SPACIOUS UNIT
STAINLESS STEEL APPLIANCES
QUARTZ COUNTERTOPS
LARGE PATIO WITH GAS HOOK UP 
IN SUITE WASHER AND DRIER 
TWO UNDER GROUND PARKING STALLS INCLUDED- TANDEM 
WALKING DISTANCE TO SUNNYSIDE TRAIN STATION, KENSINGTON AMENITIES, AND SAFEWAY


BOUTIQUE PROPERTIES 
WWW.BOUTIQUEPROPERTIES.BIZ",Unfurnished,51.0579593,Long Term,https://www.rentfaster.ca/135221,-114.084217,Suite 0,$2300.00,975,0,,2020-04-01 09:52:25.350172,Condo,,,
,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,No Vacancy,1.5 ba,2 bd,,,$1195,"Sunnyside Gardens is located in Calgary’s beautiful heritage neighbourhood of Kensington‚ renowned for its charming mix of character and contemporary residences. So much to see and do within a five minute walk makes Sunnyside Gardens an ideal choice for active‚ social tenants who appreciate the myriad of recreational and lifestyle amenities found in Kensington‚ downtown and along the river.
Fully Renovated Condo Quality 2 Br. Apartment.  Very Large and bright apartment on the 2nd Floor.
Past winner of the ""Building of the Year Award"", Sunnyside Gardens is located one block north of Memorial Drive and within easy walking distance of Downtown major bus routes and the LRT Station.
Sunnyside Gardens offers one and two bedroom apartments.  Each apartment is equipped with a fridge, stove and dishwasher. Heat, water and one parking stall is included. The tenant is responsible for electricity, cable, telephone and internet. A minimum 12 month lease is required and the security deposit is equal to one month's rent.
If you are looking for a clean, quiet, modern apartment with Management that cares....this is the place!",Unfurnished,51.056681,Long Term,https://www.rentfaster.ca/304832,-114.07787749999999,Suite 3,$1295.00,1050,3,,2020-04-01 09:53:25.853521,Apartment,3rd Floor,2 Br. Nicely Updated,
,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,Immediate,1.5 ba,3 bd,,,$1345,"Welcome to your new home. Located just steps from the river, and just minutes from the university and Foothills Hospital, this three bedroom 1.5 bathroom half duplex boasts bright laminate hardwood floors, a spacious kitchen, and in unit laundry. With a cozy fireplace for the winter, and a spacious backyard for the summer, this is a place you'll be happy to live in. Located just minutes from Kensington, you are close to restaurants, bars, and so much more, without being disturbed by any of the noise from it. 
Interested in making this place your home? Contact Amhurst Property Management at 403-266-8866 to book your showing 
Amhurst Property Management
Good Value, Good Service, Good Management in Calgary for over 35 years
<a rel=""nofollow"" href=""http://www.amhurst.net""  title=""www.amhurst.net"" target=_blank>www.amhurst.net</a>
marketing@amhurst.net
(403) 266-8866
&nbsp;
Amhurst Property Management
Good Value, Good Service, Good Management in Calgary for over 35 years
www.amhurst.net
marketing@amhurst.net
(403) 266-8866",Unfurnished,51.058439,Long Term,https://www.rentfaster.ca/404901,-114.124445,Suite 0,$1345.00,,0,,2020-04-01 09:54:26.465701,Duplex,,,
